Date,spend_all,spend_acf,cityname,stateabbrev,city_pop2019
2022-01-31,-0.13,-0.158,Los Angeles,CA,10039107
2022-01-31,0.181,0.0257,Chicago,IL,5150233
2022-01-31,-0.0201,-0.0351,Dallas,TX,2635516
2022-01-31,0.0388,0.0112,Austin,TX,1273954
2022-01-31,-0.0339,-0.0717,Charlotte,NC,1110356
2022-01-31,0.201,0.0414,Boston,MA,803907
2022-01-31,-0.0106,-0.0209,Denver,CO,727211
2022-01-31,0.0508,0.0437,Atlanta,GA,1063937
2022-01-31,0.0823,0.0409,Kansas City,MO,703011
2022-02-28,-0.124,-0.146,Los Angeles,CA,10039107
2022-02-28,0.26,0.178,Chicago,IL,5150233
2022-02-28,0.0398,0.00227,Dallas,TX,2635516
2022-02-28,0.102,0.0595,Austin,TX,1273954
2022-02-28,0.0874,0.0732,Charlotte,NC,1110356
2022-02-28,0.215,0.133,Boston,MA,803907
2022-02-28,0.0758,0.0439,Denver,CO,727211
2022-02-28,0.114,0.119,Atlanta,GA,1063937
2022-02-28,0.0737,0.154,Kansas City,MO,703011
2022-03-31,-0.0871,-0.147,Los Angeles,CA,10039107
2022-03-31,0.29,0.142,Chicago,IL,5150233
2022-03-31,0.0593,-0.0294,Dallas,TX,2635516
2022-03-31,0.115,0.0329,Austin,TX,1273954
2022-03-31,0.0947,0.0375,Charlotte,NC,1110356
2022-03-31,0.213,0.0647,Boston,MA,803907
2022-03-31,0.0878,-0.00212,Denver,CO,727211
2022-03-31,0.122,0.0663,Atlanta,GA,1063937
2022-03-31,0.0968,0.124,Kansas City,MO,703011
2022-04-30,-0.103,-0.0906,Los Angeles,CA,10039107
2022-04-30,0.305,0.244,Chicago,IL,5150233
2022-04-30,0.059,0.0731,Dallas,TX,2635516
2022-04-30,0.116,0.106,Austin,TX,1273954
2022-04-30,0.0598,0.106,Charlotte,NC,1110356
2022-04-30,0.2,0.155,Boston,MA,803907
2022-04-30,0.07,0.074,Denver,CO,727211
2022-04-30,0.108,0.124,Atlanta,GA,1063937
2022-04-30,0.0388,0.144,Kansas City,MO,703011
2022-05-31,-0.113,-0.13,Los Angeles,CA,10039107
2022-05-31,0.3,0.19,Chicago,IL,5150233
2022-05-31,0.0353,0.0243,Dallas,TX,2635516
2022-05-31,0.085,0.0459,Austin,TX,1273954
2022-05-31,0.0511,0.0703,Charlotte,NC,1110356
2022-05-31,0.25,0.178,Boston,MA,803907
2022-05-31,0.0568,0.0235,Denver,CO,727211
2022-05-31,0.0846,0.0842,Atlanta,GA,1063937
2022-05-31,0.107,0.198,Kansas City,MO,703011
2022-06-30,-0.0754,-0.156,Los Angeles,CA,10039107
2022-06-30,0.34,0.165,Chicago,IL,5150233
2022-06-30,0.0689,-0.0176,Dallas,TX,2635516
2022-06-30,0.121,0.00536,Austin,TX,1273954
2022-06-30,0.0936,0.0279,Charlotte,NC,1110356
2022-06-30,0.327,0.0881,Boston,MA,803907
2022-06-30,0.114,-0.018,Denver,CO,727211
2022-06-30,0.152,0.0598,Atlanta,GA,1063937
2022-06-30,0.194,0.0791,Kansas City,MO,703011
2022-07-31,-0.109,-0.143,Los Angeles,CA,10039107
2022-07-31,0.291,0.166,Chicago,IL,5150233
2022-07-31,0.0281,-0.0267,Dallas,TX,2635516
2022-07-31,0.0862,0.0278,Austin,TX,1273954
2022-07-31,0.0465,0.0407,Charlotte,NC,1110356
2022-07-31,0.266,0.139,Boston,MA,803907
2022-07-31,0.0724,0.00762,Denver,CO,727211
2022-07-31,0.0945,0.0315,Atlanta,GA,1063937
2022-07-31,0.142,0.106,Kansas City,MO,703011
2022-08-31,-0.108,-0.206,Los Angeles,CA,10039107
2022-08-31,0.32,0.0839,Chicago,IL,5150233
2022-08-31,0.0475,-0.0755,Dallas,TX,2635516
2022-08-31,0.0896,-0.0518,Austin,TX,1273954
2022-08-31,0.0712,0.0129,Charlotte,NC,1110356
2022-08-31,0.302,0.056,Boston,MA,803907
2022-08-31,0.0859,-0.0333,Denver,CO,727211
2022-08-31,0.136,-0.0162,Atlanta,GA,1063937
2022-08-31,0.119,0.062,Kansas City,MO,703011
2022-09-30,-0.0852,-0.172,Los Angeles,CA,10039107
2022-09-30,0.365,0.117,Chicago,IL,5150233
2022-09-30,0.0564,-0.0369,Dallas,TX,2635516
2022-09-30,0.117,0.0341,Austin,TX,1273954
2022-09-30,0.101,0.0335,Charlotte,NC,1110356
2022-09-30,0.313,-0.0572,Boston,MA,803907
2022-09-30,0.122,0.00873,Denver,CO,727211
2022-09-30,0.162,0.063,Atlanta,GA,1063937
2022-09-30,0.159,0.095,Kansas City,MO,703011
2022-10-31,-0.114,-0.16,Los Angeles,CA,10039107
2022-10-31,0.291,0.153,Chicago,IL,5150233
2022-10-31,0.0202,-0.014,Dallas,TX,2635516
2022-10-31,0.0633,0.0495,Austin,TX,1273954
2022-10-31,0.0487,0.0254,Charlotte,NC,1110356
2022-10-31,0.247,0.1,Boston,MA,803907
2022-10-31,0.0688,0.0514,Denver,CO,727211
2022-10-31,0.15,0.121,Atlanta,GA,1063937
2022-10-31,0.00224,0.0561,Kansas City,MO,703011
2022-11-30,-0.0695,-0.195,Los Angeles,CA,10039107
2022-11-30,0.329,0.128,Chicago,IL,5150233
2022-11-30,0.0802,-0.0688,Dallas,TX,2635516
2022-11-30,0.111,-0.0341,Austin,TX,1273954
2022-11-30,0.0836,0.00227,Charlotte,NC,1110356
2022-11-30,0.357,0.0314,Boston,MA,803907
2022-11-30,0.143,-0.0249,Denver,CO,727211
2022-11-30,0.209,0.0463,Atlanta,GA,1063937
2022-11-30,0.0215,-0.11,Kansas City,MO,703011
2022-12-31,-0.111,-0.161,Los Angeles,CA,10039107
2022-12-31,0.275,0.105,Chicago,IL,5150233
2022-12-31,0.0248,-0.0424,Dallas,TX,2635516
2022-12-31,0.0649,0.0167,Austin,TX,1273954
2022-12-31,0.0543,0.0173,Charlotte,NC,1110356
2022-12-31,0.336,0.166,Boston,MA,803907
2022-12-31,0.0747,-0.0122,Denver,CO,727211
2022-12-31,0.178,0.0911,Atlanta,GA,1063937
2022-12-31,0.0161,-0.000517,Kansas City,MO,703011
2023-01-31,-0.0848,-0.122,Los Angeles,CA,10039107
2023-01-31,0.308,0.197,Chicago,IL,5150233
2023-01-31,0.0576,0.00971,Dallas,TX,2635516
2023-01-31,0.103,0.0234,Austin,TX,1273954
2023-01-31,0.0628,0.00669,Charlotte,NC,1110356
2023-01-31,0.322,0.145,Boston,MA,803907
