City,Fold,RMSE,MASE,Host_status
Los Angeles,1,0.019546523560953107,0.617226816790321,Host
Los Angeles,2,0.016488936188857,0.5387113348603084,Host
Denver,1,0.024512586609545556,0.5196606674609736,Non-Host
Denver,2,0.02901006372979912,0.8093849379382275,Non-Host
Dallas,1,0.031408117584488304,0.5467764012570733,Host
Dallas,2,0.03200044509091736,0.6660666714197896,Host
Chicago,1,0.04559551413001194,0.7809937976759109,Non-Host
Chicago,2,0.07075705698050852,1.486771821559684,Non-Host
Boston,1,0.07691190883671305,1.0475769142182094,Host
Boston,2,0.05303933590380158,0.6803800322673444,Host
Atlanta,1,0.06603079780078042,1.2631934805115506,Host
Atlanta,2,0.07294748389277371,1.5573385118378507,Host
Kansas City,1,0.08267395852979356,0.9818090370319721,Host
Kansas City,2,0.08915778562904055,1.5034846291131845,Host
Austin,1,0.060882530723550335,1.0554624501119791,Non-Host
Austin,2,0.014488682643378452,0.2561064663274015,Non-Host
Charlotte,1,0.024574988076575214,0.5767156764799414,Non-Host
Charlotte,2,0.030946291914210628,0.8371139470359644,Non-Host
